title,description,content,source,published_at,category
The Benefits of Reading a ‘Hard’ Book,"The true pleasure of literature can be found in bizarre, demanding works such as Your Name Here, by Helen DeWitt and Ilya Gridneff.","Every year, I set myself a reading challenge. These are sometimes smallread more poetry; read older booksand sometimes quite large. More than a decade ago, I spent an entire year reading nothing but … [+9910 chars]",The Atlantic,2026-01-01T13:00:00Z,ecommerce_news
Trump Books Aren’t Selling Anymore,"A decade into the Trump era, readers who were once hungry to learn about the man seem to have had their fill.","Not too long ago, books about Donald Trump were the safest bet in publishing. Fire and Fury, Michael Wolff’s tell-all about Trump’s chaotic first year in office, was a monster best seller in 2018, as… [+5316 chars]",The Atlantic,2026-01-03T12:00:00Z,ecommerce_news
Books That Open the Mind,Our writers’ recommendations for literature that challenges and expands,"This is an edition of The Wonder Reader, a newsletter in which our editors recommend a set of stories to spark your curiosity and fill you with delight. Sign up here to get it every Saturday morning.… [+2017 chars]",The Atlantic,2026-01-03T15:29:00Z,ecommerce_news
The Worst Hacks of 2025,"From university breaches to cyberattacks that shut down whole supply chains, these were the worst cybersecurity incidents of the year.","It was a strange year in cyberspace, as US president Donald Trump and his administration launched foreign policy initiatives and massive changes to the federal government that have had significant ge… [+4163 chars]",Wired,2025-12-29T12:00:00Z,ecommerce_news
Video game hardware sales had a historically bad November in the US,"Spending on video game hardware during November totalled $695 million, a drop of 27 percent compared to last year, according to market analyst company Circana, ""This is the lowest video game hardware spending total for a November month since the $455M reached…","<ul><li></li><li></li><li></li></ul>
The cost of new hardware is only going up, too.
The cost of new hardware is only going up, too.
by
Jay PetersClose
Jay Peters
Posts from this author will be… [+2600 chars]",The Verge,2025-12-17T20:14:49Z,ecommerce_news
Are Tech giants killing cold outreach?,"This is one of the most concerning questions for sales teams at the beginning of 2026: are tech giants killing cold outreach? The answer is that we do not know yet, but here is a perspective from someone working in sales. Apple and Google have recently introd…","This is one of the most concerning questions for sales teams at the beginning of 2026: are tech giants killing cold outreach? The answer is that we do not know yet, but here is a perspective from som… [+2733 chars]",The Next Web,2026-01-09T16:03:56Z,ecommerce_news
Female artists (and Oasis) drove UK music sales in 2025,"Taylor Swift was the biggest-seller, with Olivia Dean and Sabrina Carpenter also topping the charts.","Mark SavageMusic correspondent
Olivia Dean's The Art of Loving was one of 2025's best-selling albums
To almost no-one's surprise, Taylor Swift dominated the UK music charts in 2025.
The star's 12t… [+4593 chars]",BBC News,2025-12-31T00:03:06Z,ecommerce_news
I canceled my book deal,"I've always wanted to write a book, and I was close, but not this time.","12/31/2025
Back in 2020-2022, my blog was getting a lot of attention. Some of the big tech book publishers reached out about whether I was interested in writing a book. I had a few conversations but… [+11199 chars]",Austinhenley.com,2025-12-31T18:26:32Z,ecommerce_news
Ford’s big bet on EVs didn’t pan out — now its pivoting to hybrids and energy storage,"Ford announced a series of changes to its gas- and electric-powered vehicle business aimed at dramatically increasing hybrid vehicle production in the face of slowing EV sales. The automaker also introducing some new products as part of this plan, including a…","<ul><li></li><li></li><li></li></ul>
The automaker will make an EREV version of the F-150 Lightning that will get up to 700 miles of range.
The automaker will make an EREV version of the F-150 Ligh… [+6243 chars]",The Verge,2025-12-15T21:04:46Z,ecommerce_news
A Kinect for kids is outselling Xbox to become the hot console this holiday,"It's a small sample size, likely driven by Black Friday discounts and temporary virality, but the Nex Playground has gone from little-known console curiosity to best-seller. It's now on track to quadruple its sales from last year. According to research firm C…","<ul><li></li><li></li></ul>
The Nex Playground is on track to move 600,000 consoles, quadrupling last years sales.
The Nex Playground is on track to move 600,000 consoles, quadrupling last years sa… [+2839 chars]",The Verge,2025-12-13T18:17:20Z,ecommerce_news
